ID,Imported table,Title (from Imported table),DOI (from Imported table),Mosquito species,Mosquito subsp,Mosquito origin (country),Virus,Virus strain,DENV serotype,Notes,Attachments,Status
286,"""Liu, ZZ; Zhou, TF; Lai, ZT; Zhang, ZH; Jia, ZR; Zhou, GF; Williams, T; Xu, JB; Gu, JB; Zhou, XH; Lin, LF; Yan, GY; Chen, XG""","Competence of Aedes aegypti, Ae. albopictus, and Culex quinquefasciatus Mosquitoes as Zika Virus Vectors, China",10.3201/eid2307.161528,Culex quinquefasciatus,,China,Zika virus,Asian lineage (ZJ03),,,,
295,"""Li, CX; Guo, XX; Deng, YQ; Xing, D; Sun, AJ; Liu, QM; Wu, Q; Dong, YD; Zhang, YM; Zhang, HD; Cao, WC; Qin, CF; Zhao, TY""",Vector competence and transovarial transmission of two Aedes aegypti strains to Zika virus,10.1038/emi.2017.8,Aedes aegypti,,China,Zika virus,Asian lineage (SZ01),,,,
327,"""Guo, XX; Li, CX; Deng, YQ; Xing, D; Liu, QM; Wu, Q; Sun, AJ; Dong, YD; Cao, WC; Qin, CF; Zhao, TY""",Culex pipiens quinquefasciatus: a potential vector to transmit Zika virus,10.1038/emi.2016.102,Culex quinquefasciatus,,China,Zika virus,Asian lineage (SZ01),,,,
556,"""Jiang, SF; Zhang, YM; Guo, XX; Dong, YD; Xing, D; Xue, RD; Zhao, TY""",Experimental Studies on Comparison of the Potential Vector Competence of Four Species of Culex Mosquitoes in China to Transmit West Nile Virus,10.1603/ME08292,Culex tritaeniorhynchus,,China,West Nile virus, Eg101,,,,
557,"""Jiang, SF; Zhang, YM; Guo, XX; Dong, YD; Xing, D; Xue, RD; Zhao, TY""",Experimental Studies on Comparison of the Potential Vector Competence of Four Species of Culex Mosquitoes in China to Transmit West Nile Virus,10.1603/ME08292,Culex modestus,,China,West Nile virus, Eg101,,,,
558,"""Jiang, SF; Zhang, YM; Guo, XX; Dong, YD; Xing, D; Xue, RD; Zhao, TY""",Experimental Studies on Comparison of the Potential Vector Competence of Four Species of Culex Mosquitoes in China to Transmit West Nile Virus,10.1603/ME08292,Culex pipiens,pallens,China,West Nile virus, Eg101,,,,
559,"""Jiang, SF; Zhang, YM; Guo, XX; Dong, YD; Xing, D; Xue, RD; Zhao, TY""",Experimental Studies on Comparison of the Potential Vector Competence of Four Species of Culex Mosquitoes in China to Transmit West Nile Virus,10.1603/ME08292,Culex quinquefasciatus,,China,West Nile virus, Eg101,,,,
640,"""Moncayo, AC; Lanzaro, G; Kang, W; Orozco, A; Ulloa, A; Arredondo-Jimenez, J; Weaver, SC""",Vector competence of eastern and western forms of Psorophora columbiae (Diptera : culicidae) mosquitoes for enzootic and epizootic Venezuelan equine encephalitis virus,10.4269/ajtmh.2008.78.413,Psorophora columbiae,,China,Venezuelan equine encephalitis virus,Strain 93-42124,,,,
643,"""Moncayo, AC; Lanzaro, G; Kang, W; Orozco, A; Ulloa, A; Arredondo-Jimenez, J; Weaver, SC""",Vector competence of eastern and western forms of Psorophora columbiae (Diptera : culicidae) mosquitoes for enzootic and epizootic Venezuelan equine encephalitis virus,10.4269/ajtmh.2008.78.413,Psorophora columbiae,,China,Venezuelan equine encephalitis virus,Strain CPA-201,,,,
646,"""Moncayo, AC; Lanzaro, G; Kang, W; Orozco, A; Ulloa, A; Arredondo-Jimenez, J; Weaver, SC""",Vector competence of eastern and western forms of Psorophora columbiae (Diptera : culicidae) mosquitoes for enzootic and epizootic Venezuelan equine encephalitis virus,10.4269/ajtmh.2008.78.413,Psorophora columbiae,,China,Venezuelan equine encephalitis virus,Strain 96-32863,,,,
